,StudentId,CGPA,Major Projects,Workshops/Certificatios,Mini Projects,Skills,Communication Skill Rating,Internship,Hackathon,12th Percentage,10th Percentage,backlogs,PlacementStatus
2571,2572,8.0,1,0,0,8,3.5,Yes,Yes,58.6,61.9,0,Placed
2572,2573,8.8,1,1,2,8,3.9,No,Yes,78.8,88.2,4,Placed
2573,2574,7.7,0,1,2,3,3.5,Yes,Yes,71.0,56.5,2,Placed
2574,2575,7.4,0,2,2,6,1.5,Yes,Yes,59.5,82.1,1,Placed
2575,2576,7.8,1,3,2,8,3.8,Yes,Yes,78.3,60.9,0,Placed
2576,2577,6.8,0,2,1,12,4.6,No,Yes,50.0,62.8,1,Placed
2577,2578,6.7,1,3,1,6,4.1,Yes,Yes,63.7,62.7,1,Placed
2578,2579,8.6,0,2,1,9,1.8,Yes,Yes,56.1,62.0,4,NotPlaced
2579,2580,8.7,1,1,1,10,5.0,Yes,No,81.8,80.3,3,Placed
2580,2581,6.7,2,1,1,6,2.4,Yes,No,67.1,77.3,0,Placed
2581,2582,8.3,1,1,3,10,2.6,No,Yes,71.7,69.9,1,Placed
2582,2583,7.4,1,3,1,11,4.1,Yes,No,73.7,96.4,1,Placed
2583,2584,7.8,1,2,2,11,3.9,No,No,78.3,71.8,3,NotPlaced
2584,2585,7.9,1,1,2,8,3.6,Yes,No,77.3,72.5,3,Placed
2585,2586,8.3,1,2,1,14,3.0,Yes,Yes,78.2,65.8,0,Placed
2586,2587,7.6,1,0,0,5,4.6,Yes,Yes,68.6,64.8,0,Placed
2587,2588,8.7,0,1,0,13,3.5,Yes,Yes,78.7,67.2,0,Placed
2588,2589,7.8,0,1,1,9,2.2,No,No,65.1,79.7,1,NotPlaced
2589,2590,8.0,0,2,0,11,4.5,No,Yes,67.4,77.1,0,Placed
2590,2591,6.8,1,1,1,6,3.7,Yes,Yes,57.2,83.6,0,NotPlaced
2591,2592,9.3,2,3,2,10,4.4,No,Yes,86.1,65.5,3,NotPlaced
2592,2593,7.9,0,0,1,11,4.0,Yes,Yes,62.1,77.3,1,Placed
2593,2594,8.1,0,3,1,4,5.0,Yes,No,83.7,74.7,7,NotPlaced
2594,2595,6.1,1,0,0,7,3.3,No,Yes,75.8,75.9,3,NotPlaced
2595,2596,6.8,1,3,1,1,3.5,Yes,Yes,72.8,64.2,1,Placed
2596,2597,8.6,1,1,1,6,4.1,No,Yes,74.3,62.7,0,Placed
2597,2598,7.7,1,0,0,5,3.3,Yes,Yes,61.4,76.9,1,Placed
2598,2599,5.9,1,1,3,6,4.1,No,No,85.5,79.9,2,NotPlaced
2599,2600,8.4,0,1,1,15,1.1,Yes,Yes,67.7,66.4,1,Placed
2600,2601,7.0,1,2,2,12,3.4,Yes,Yes,80.1,77.5,4,Placed
2601,2602,8.7,1,3,2,3,3.4,Yes,Yes,66.1,82.8,3,Placed
2602,2603,7.4,2,1,0,9,3.4,Yes,Yes,58.1,68.7,1,Placed
2603,2604,7.7,1,1,2,9,2.8,Yes,Yes,88.9,59.1,0,Placed
2604,2605,8.5,1,1,0,6,4.2,No,Yes,65.6,60.2,1,NotPlaced
2605,2606,6.7,1,3,0,8,3.1,Yes,Yes,75.2,65.9,1,Placed
2606,2607,6.7,0,0,0,8,3.7,Yes,Yes,50.0,68.0,1,NotPlaced
2607,2608,7.3,1,2,2,3,3.5,No,Yes,70.4,71.7,3,NotPlaced
2608,2609,8.2,2,1,2,4,3.9,No,No,76.4,71.9,1,Placed
2609,2610,6.4,2,1,2,8,4.6,No,No,72.3,69.5,0,NotPlaced
2610,2611,6.1,2,1,2,7,3.7,Yes,Yes,70.1,78.1,3,Placed
2611,2612,8.2,1,3,0,5,4.2,Yes,Yes,69.1,65.2,2,Placed
2612,2613,7.0,0,1,2,5,3.6,Yes,No,78.8,83.4,0,NotPlaced
2613,2614,7.2,2,3,0,7,3.1,No,No,59.4,80.5,2,NotPlaced
2614,2615,5.9,1,2,0,10,3.4,No,Yes,68.9,79.8,2,NotPlaced
2615,2616,6.9,0,1,1,7,3.3,Yes,Yes,83.9,66.1,1,Placed
2616,2617,7.5,0,0,0,12,4.0,No,Yes,57.7,71.0,1,Placed
2617,2618,8.3,1,1,2,5,3.6,Yes,No,70.0,78.5,2,Placed
2618,2619,6.8,1,2,2,8,2.9,No,Yes,61.1,70.2,2,NotPlaced
2619,2620,8.9,1,3,2,6,3.3,Yes,Yes,73.7,65.7,0,Placed
2620,2621,6.9,2,1,3,9,2.3,No,No,71.3,65.3,0,Placed
2621,2622,6.9,0,2,1,5,3.4,No,Yes,62.5,65.8,2,NotPlaced
2622,2623,8.8,0,3,1,13,3.5,No,Yes,71.2,61.6,0,Placed
2623,2624,7.7,1,2,1,2,4.9,Yes,Yes,71.6,97.8,5,NotPlaced
2624,2625,7.0,1,1,0,12,4.6,Yes,Yes,65.5,54.4,0,Placed
2625,2626,7.4,1,1,2,7,2.7,Yes,Yes,67.3,63.2,2,Placed
2626,2627,8.7,1,3,2,9,3.7,Yes,No,65.2,77.4,7,NotPlaced
2627,2628,8.7,0,2,2,11,3.7,No,Yes,50.5,65.9,1,Placed
2628,2629,6.8,1,3,1,10,3.3,No,Yes,79.3,68.8,2,Placed
2629,2630,7.5,1,2,2,5,3.4,Yes,Yes,81.8,75.6,0,Placed
2630,2631,7.6,2,1,1,9,3.2,No,Yes,55.2,81.3,2,Placed
2631,2632,6.7,2,1,0,13,5.0,Yes,No,81.9,69.5,6,NotPlaced
2632,2633,7.5,2,1,1,4,3.2,No,Yes,74.6,80.3,5,NotPlaced
2633,2634,7.5,2,0,1,13,3.8,No,Yes,61.1,56.7,1,Placed
2634,2635,8.5,0,2,1,8,1.5,Yes,Yes,69.1,66.5,3,NotPlaced
2635,2636,8.5,1,3,0,6,4.2,Yes,Yes,64.6,76.5,3,Placed
2636,2637,7.2,2,2,1,4,4.4,Yes,Yes,79.3,89.8,1,NotPlaced
2637,2638,7.3,2,3,0,6,2.7,No,Yes,62.7,63.3,3,NotPlaced
2638,2639,8.1,2,3,0,1,3.1,Yes,Yes,90.1,61.7,0,Placed
2639,2640,7.0,0,3,2,6,3.9,Yes,Yes,81.4,75.1,5,NotPlaced
2640,2641,8.0,1,3,1,6,3.5,Yes,No,60.0,72.5,3,NotPlaced
2641,2642,7.4,0,2,1,4,3.9,Yes,Yes,85.7,65.5,1,Placed
2642,2643,6.7,0,1,3,9,3.3,No,Yes,77.6,61.0,1,Placed
2643,2644,6.7,1,0,0,6,5.0,No,No,69.6,67.4,4,NotPlaced
2644,2645,8.7,2,3,2,5,3.0,Yes,Yes,77.1,76.7,0,Placed
2645,2646,7.4,1,1,2,6,5.0,No,Yes,79.3,69.0,1,NotPlaced
2646,2647,8.9,1,1,1,8,4.5,No,Yes,64.2,82.5,1,Placed
2647,2648,7.1,2,0,1,7,4.2,Yes,Yes,78.5,70.8,1,NotPlaced
2648,2649,7.7,1,1,1,5,2.7,No,Yes,67.1,77.4,0,Placed
2649,2650,9.5,0,3,1,7,4.2,No,Yes,78.3,74.5,1,Placed
2650,2651,6.6,1,3,0,7,4.0,Yes,Yes,69.8,68.4,6,NotPlaced
2651,2652,5.9,0,1,1,4,1.8,Yes,Yes,61.9,79.5,3,NotPlaced
2652,2653,8.6,1,3,1,6,2.4,Yes,Yes,76.7,61.0,3,NotPlaced
2653,2654,6.8,1,2,1,9,3.8,No,Yes,67.6,67.0,1,NotPlaced
2654,2655,7.5,2,1,0,9,3.4,Yes,Yes,72.4,68.3,2,Placed
2655,2656,7.0,0,1,1,6,3.1,No,Yes,74.7,75.4,1,NotPlaced
2656,2657,7.7,2,1,2,9,4.4,Yes,Yes,84.2,77.7,2,Placed
2657,2658,6.7,1,1,2,4,2.8,Yes,Yes,67.1,64.7,3,Placed
2658,2659,7.3,1,2,2,4,3.1,No,Yes,63.4,63.4,0,NotPlaced
2659,2660,7.9,2,0,1,6,3.0,Yes,Yes,85.8,72.7,4,Placed
2660,2661,6.6,1,3,0,11,3.9,Yes,No,71.0,58.2,4,NotPlaced
2661,2662,6.9,1,3,1,7,2.1,No,No,66.1,81.1,1,NotPlaced
2662,2663,7.2,2,1,2,6,3.1,Yes,Yes,74.3,70.0,5,NotPlaced
2663,2664,6.3,0,2,1,12,2.1,No,Yes,67.9,61.5,4,NotPlaced
2664,2665,7.1,1,2,2,6,3.2,Yes,Yes,68.6,61.3,0,Placed
2665,2666,7.6,1,3,2,14,4.1,Yes,Yes,94.2,74.8,0,Placed
2666,2667,7.2,1,2,1,5,4.1,Yes,Yes,62.1,74.6,2,Placed
2667,2668,7.3,1,3,1,4,2.9,Yes,Yes,58.1,65.1,3,NotPlaced
2668,2669,7.5,1,3,0,7,3.9,No,Yes,82.0,71.0,0,Placed
2669,2670,6.9,2,3,2,6,3.4,Yes,Yes,67.6,61.8,1,Placed
2670,2671,8.1,1,2,1,5,4.6,No,Yes,73.9,69.7,2,Placed
2671,2672,8.7,0,2,1,15,3.4,Yes,Yes,76.7,85.3,1,NotPlaced
2672,2673,7.1,1,1,0,8,1.1,Yes,No,55.3,91.2,0,NotPlaced
2673,2674,7.9,1,0,2,8,4.2,No,No,81.3,70.1,0,NotPlaced
2674,2675,7.3,1,2,3,6,3.1,Yes,No,65.9,75.9,3,Placed
2675,2676,7.8,2,3,1,5,3.3,Yes,Yes,88.1,75.5,0,Placed
2676,2677,8.8,0,1,1,10,3.8,Yes,No,63.8,56.5,2,Placed
2677,2678,7.9,1,2,1,2,2.4,Yes,Yes,85.1,61.7,2,NotPlaced
2678,2679,6.0,0,1,1,4,3.6,Yes,No,86.7,51.2,4,Placed
2679,2680,7.9,0,2,1,6,3.9,Yes,Yes,66.6,76.0,6,NotPlaced
2680,2681,8.5,1,1,3,11,3.8,Yes,Yes,69.3,89.5,4,Placed
2681,2682,7.3,0,2,3,6,3.0,No,Yes,68.2,81.6,2,Placed
2682,2683,8.3,0,2,2,8,4.3,No,No,84.7,72.4,0,Placed
2683,2684,6.9,1,2,0,7,2.7,Yes,Yes,72.6,71.1,1,NotPlaced
2684,2685,6.2,1,1,1,11,3.0,No,No,75.8,68.8,1,NotPlaced
2685,2686,7.6,0,1,0,2,3.4,No,Yes,69.7,81.5,0,Placed
2686,2687,6.0,1,1,2,9,3.7,Yes,No,75.2,73.9,0,Placed
2687,2688,7.3,1,3,1,6,3.2,No,Yes,75.8,72.6,1,NotPlaced
2688,2689,8.6,1,1,1,10,4.5,Yes,No,65.6,62.1,1,Placed
2689,2690,5.9,1,2,3,5,3.7,Yes,Yes,87.0,77.4,2,NotPlaced
2690,2691,6.4,0,2,3,7,3.6,No,No,69.2,70.7,4,NotPlaced
2691,2692,6.6,1,2,1,7,3.7,Yes,No,80.3,75.6,1,NotPlaced
2692,2693,7.4,2,3,2,4,4.1,Yes,Yes,59.6,81.0,0,Placed
2693,2694,7.2,2,1,3,3,3.7,Yes,Yes,77.2,57.3,2,Placed
2694,2695,8.7,0,2,3,5,2.1,Yes,No,80.6,69.3,1,Placed
2695,2696,8.3,1,3,2,7,4.4,Yes,Yes,73.4,68.0,4,Placed
2696,2697,7.9,0,0,0,5,3.6,No,No,80.7,67.2,1,NotPlaced
2697,2698,7.6,1,2,2,6,4.0,No,No,64.6,61.9,1,Placed
2698,2699,7.8,2,1,1,1,3.2,No,Yes,75.3,65.5,2,Placed
2699,2700,6.8,0,0,1,6,2.0,No,Yes,57.3,62.1,1,NotPlaced
2700,2701,8.2,2,1,3,10,1.7,Yes,Yes,72.3,79.4,2,Placed
2701,2702,6.6,1,1,2,9,2.7,No,Yes,63.9,75.4,0,Placed
2702,2703,8.2,1,2,3,7,3.9,Yes,No,70.4,74.8,1,Placed
2703,2704,8.5,1,3,0,8,4.5,Yes,Yes,83.4,54.7,0,Placed
2704,2705,7.7,1,3,2,5,3.7,Yes,No,86.6,89.5,3,Placed
2705,2706,7.4,1,3,2,12,2.7,No,No,59.5,68.3,0,NotPlaced
2706,2707,7.8,0,3,1,13,2.9,No,No,82.2,87.7,0,Placed
2707,2708,5.5,0,2,3,7,4.6,Yes,No,83.6,78.7,2,NotPlaced
2708,2709,7.8,1,2,2,15,2.5,Yes,No,73.9,69.9,2,NotPlaced
2709,2710,7.4,1,2,1,5,5.0,Yes,Yes,83.2,90.4,1,NotPlaced
2710,2711,7.5,1,3,3,3,5.0,Yes,No,67.3,77.1,5,Placed
2711,2712,8.1,2,2,2,5,5.0,No,No,66.4,69.9,2,NotPlaced
2712,2713,7.4,0,2,1,6,3.8,Yes,No,66.4,68.5,4,NotPlaced
2713,2714,6.5,2,0,0,14,3.2,Yes,No,77.4,81.3,1,Placed
2714,2715,7.4,1,3,2,6,3.8,Yes,No,70.1,67.2,2,NotPlaced
2715,2716,7.6,2,2,1,4,4.2,Yes,Yes,64.6,68.6,1,NotPlaced
2716,2717,7.6,1,2,2,4,3.0,Yes,Yes,65.0,66.6,1,Placed
2717,2718,7.6,1,3,0,10,2.6,No,No,71.0,65.2,0,Placed
2718,2719,8.4,2,0,2,10,3.3,No,Yes,63.4,65.7,0,Placed
2719,2720,6.6,2,0,2,6,2.9,No,Yes,77.0,88.0,3,NotPlaced
2720,2721,7.6,0,3,2,1,4.5,Yes,Yes,81.8,81.1,3,Placed
2721,2722,8.6,2,1,2,4,3.0,Yes,Yes,79.8,74.1,0,Placed
2722,2723,6.0,1,0,0,12,3.6,Yes,Yes,97.0,67.1,0,Placed
2723,2724,7.7,0,3,1,9,4.3,No,Yes,74.7,67.0,0,Placed
2724,2725,7.0,1,1,2,7,4.5,Yes,Yes,86.3,68.7,2,NotPlaced
2725,2726,7.2,1,3,2,13,3.7,No,Yes,72.7,88.1,0,Placed
2726,2727,6.7,1,3,1,13,3.8,Yes,Yes,68.5,74.6,3,Placed
2727,2728,7.4,2,1,1,7,2.7,Yes,Yes,72.1,78.7,0,NotPlaced
2728,2729,9.1,2,0,2,7,4.3,No,Yes,72.5,73.8,2,Placed
2729,2730,6.4,1,0,0,5,4.5,Yes,Yes,69.9,64.0,4,NotPlaced
2730,2731,6.5,1,1,0,6,2.0,Yes,Yes,61.3,72.9,0,Placed
2731,2732,6.4,1,1,1,3,4.9,No,Yes,62.2,62.3,3,NotPlaced
2732,2733,9.0,1,3,1,3,2.9,No,Yes,81.2,82.8,4,Placed
2733,2734,7.1,2,3,1,2,4.0,Yes,Yes,78.5,65.3,2,Placed
2734,2735,7.5,0,2,2,10,3.6,No,Yes,87.0,66.9,1,Placed
2735,2736,7.2,0,1,3,2,3.5,Yes,Yes,67.5,79.3,2,Placed
2736,2737,6.7,1,2,0,13,3.3,Yes,Yes,66.6,65.7,1,Placed
2737,2738,7.3,1,3,1,5,2.7,Yes,No,60.7,70.0,4,NotPlaced
2738,2739,9.5,0,1,3,12,3.9,Yes,No,80.5,50.0,2,Placed
2739,2740,8.7,0,1,3,6,3.3,Yes,Yes,63.0,69.1,3,NotPlaced
2740,2741,6.8,1,1,1,2,2.5,No,Yes,70.7,77.3,2,NotPlaced
2741,2742,8.1,1,2,2,11,2.7,No,Yes,73.8,66.4,1,Placed
2742,2743,6.8,1,2,0,11,2.5,Yes,Yes,56.9,77.0,1,NotPlaced
2743,2744,6.0,1,3,2,4,3.1,Yes,No,78.0,71.9,3,NotPlaced
2744,2745,8.4,1,0,3,6,3.9,Yes,Yes,80.1,81.8,1,Placed
2745,2746,8.5,1,1,1,4,2.9,No,Yes,73.5,65.4,1,Placed
2746,2747,8.4,1,1,1,7,4.3,Yes,No,70.2,69.8,4,Placed
2747,2748,7.1,2,0,0,7,3.4,Yes,Yes,70.7,58.8,1,Placed
2748,2749,7.4,2,3,1,6,3.3,Yes,No,83.6,71.2,3,Placed
2749,2750,8.1,1,2,1,2,3.5,Yes,No,71.5,68.2,0,Placed
2750,2751,7.8,1,2,1,5,4.6,No,No,70.8,80.6,3,Placed
2751,2752,7.2,2,2,1,9,2.4,No,Yes,64.8,66.4,2,Placed
2752,2753,6.1,1,1,3,6,4.8,No,Yes,50.0,68.2,0,Placed
2753,2754,7.6,1,1,3,6,4.3,No,Yes,80.9,65.9,0,Placed
2754,2755,8.4,2,3,1,4,3.5,Yes,Yes,71.0,72.2,1,Placed
2755,2756,6.5,1,0,2,5,4.4,No,Yes,63.1,89.9,2,Placed
2756,2757,8.0,1,2,1,11,3.2,No,Yes,90.0,50.0,1,Placed
2757,2758,7.8,0,3,2,4,3.7,Yes,No,75.0,71.6,1,Placed
2758,2759,8.1,2,1,2,9,3.1,Yes,No,69.1,82.6,2,Placed
2759,2760,8.2,0,2,2,7,4.3,No,Yes,80.2,67.4,4,NotPlaced
2760,2761,6.9,0,2,0,8,2.9,No,Yes,74.3,76.7,0,NotPlaced
2761,2762,6.1,0,1,2,5,3.5,No,Yes,74.1,82.6,2,NotPlaced
2762,2763,7.0,1,1,1,6,4.0,Yes,Yes,65.5,69.5,4,Placed
2763,2764,8.3,2,0,2,7,4.3,Yes,Yes,77.3,66.1,2,Placed
2764,2765,7.0,0,0,3,5,2.8,Yes,Yes,79.5,80.4,5,NotPlaced
2765,2766,6.9,1,1,2,8,4.1,No,Yes,65.6,76.5,2,Placed
2766,2767,6.0,1,2,3,8,2.7,No,Yes,53.9,71.4,2,NotPlaced
2767,2768,9.0,1,0,2,14,1.8,Yes,Yes,79.6,77.5,3,Placed
2768,2769,8.2,1,3,2,8,2.9,Yes,Yes,76.7,80.6,0,Placed
2769,2770,8.2,1,2,0,1,4.2,Yes,Yes,78.6,71.5,2,Placed
2770,2771,8.3,2,2,0,10,3.5,Yes,Yes,71.4,74.7,2,Placed
2771,2772,8.0,0,1,3,6,3.1,Yes,No,79.7,76.7,0,Placed
2772,2773,7.3,0,2,2,13,3.5,Yes,No,65.1,67.8,1,Placed
2773,2774,7.4,2,3,1,11,3.5,Yes,Yes,69.3,82.7,3,Placed
2774,2775,7.1,0,0,0,5,4.0,Yes,Yes,61.6,62.7,0,NotPlaced
2775,2776,9.5,2,3,0,9,2.2,Yes,Yes,81.4,70.8,1,Placed
2776,2777,8.0,1,2,2,5,3.4,Yes,No,70.6,78.9,0,Placed
2777,2778,7.1,1,2,1,7,3.6,Yes,Yes,73.1,62.5,0,Placed
2778,2779,7.9,1,2,1,9,2.4,No,Yes,74.9,79.8,1,Placed
2779,2780,6.6,0,0,2,10,2.4,No,Yes,68.9,73.7,0,NotPlaced
2780,2781,8.8,2,2,1,10,3.2,No,Yes,78.4,83.9,1,Placed
2781,2782,6.9,1,1,1,7,3.5,Yes,Yes,85.9,77.5,0,Placed
2782,2783,7.9,0,2,0,14,3.5,Yes,Yes,79.8,70.5,4,Placed
2783,2784,8.4,1,3,1,6,3.1,Yes,Yes,55.5,74.1,4,Placed
2784,2785,7.8,1,2,2,2,3.0,No,Yes,72.0,74.4,0,Placed
2785,2786,7.6,1,1,1,3,3.2,No,Yes,72.4,90.2,0,Placed
2786,2787,7.5,1,2,2,11,3.7,No,Yes,82.2,72.8,1,Placed
2787,2788,7.5,2,1,2,7,4.5,No,No,66.1,70.8,0,NotPlaced
2788,2789,7.0,0,3,2,7,1.7,Yes,Yes,61.6,70.2,2,NotPlaced
2789,2790,7.1,2,2,1,5,4.0,Yes,No,78.5,73.7,2,Placed
2790,2791,8.8,1,3,3,6,3.4,Yes,Yes,70.8,61.8,2,Placed
2791,2792,7.4,2,2,1,5,3.9,Yes,No,65.4,68.6,3,NotPlaced
2792,2793,6.8,2,1,0,8,4.4,Yes,Yes,68.7,62.9,3,NotPlaced
2793,2794,7.1,0,2,0,7,2.9,Yes,Yes,58.3,64.1,1,NotPlaced
2794,2795,8.4,1,0,3,8,4.3,Yes,Yes,72.5,79.2,2,Placed
2795,2796,8.1,1,3,0,8,2.5,No,No,68.3,72.2,1,NotPlaced
2796,2797,8.0,0,3,2,6,3.6,No,Yes,75.8,65.3,2,NotPlaced
2797,2798,7.3,1,2,3,3,3.3,No,No,69.2,70.6,0,Placed
2798,2799,8.0,1,1,2,2,3.5,Yes,Yes,71.3,69.8,1,Placed
2799,2800,7.0,2,1,1,15,2.7,Yes,Yes,66.9,72.5,1,NotPlaced
2800,2801,7.3,0,2,1,11,3.8,Yes,Yes,68.7,58.4,0,Placed
2801,2802,8.3,0,1,0,11,4.8,No,Yes,60.8,62.2,1,Placed
2802,2803,8.2,1,2,1,5,2.7,Yes,No,80.3,59.0,2,Placed
2803,2804,6.7,0,3,1,7,3.7,No,Yes,70.6,63.9,1,Placed
2804,2805,6.8,2,3,1,5,4.2,No,Yes,53.1,65.5,6,NotPlaced
2805,2806,7.6,0,0,2,3,3.3,Yes,Yes,56.7,62.7,1,Placed
2806,2807,9.0,1,2,2,5,4.6,Yes,Yes,80.3,78.9,4,Placed
2807,2808,5.9,1,0,0,11,3.2,Yes,No,70.6,88.6,0,NotPlaced
2808,2809,7.7,2,1,1,10,3.4,No,No,70.8,79.4,1,Placed
2809,2810,6.3,2,1,2,4,2.7,No,Yes,71.0,66.9,0,Placed
2810,2811,7.0,2,2,3,6,3.6,No,Yes,75.4,73.9,0,Placed
2811,2812,7.2,1,2,2,9,3.5,Yes,No,84.8,71.4,0,Placed
2812,2813,7.1,1,3,3,5,4.0,No,Yes,75.0,66.5,2,NotPlaced
2813,2814,7.0,0,1,2,7,3.0,No,Yes,73.8,83.9,0,NotPlaced
2814,2815,7.5,2,2,3,8,3.0,Yes,No,65.9,90.1,0,Placed
2815,2816,7.0,2,1,3,8,3.9,Yes,Yes,57.1,58.8,1,Placed
2816,2817,6.3,0,1,2,8,4.6,No,Yes,75.3,85.0,2,Placed
2817,2818,8.2,1,3,2,5,4.0,No,Yes,76.0,66.7,1,NotPlaced
2818,2819,8.1,1,0,1,5,5.0,Yes,No,80.9,69.6,0,Placed
2819,2820,8.2,1,0,3,4,3.9,No,Yes,86.4,74.5,0,Placed
2820,2821,6.2,1,1,2,2,3.9,No,Yes,60.6,85.9,2,NotPlaced
2821,2822,7.8,1,2,3,7,4.0,No,Yes,65.5,74.5,2,Placed
2822,2823,8.1,2,2,0,9,4.7,No,Yes,77.0,75.7,1,Placed
2823,2824,6.6,1,2,1,3,4.5,No,Yes,71.0,79.7,1,NotPlaced
2824,2825,7.5,0,2,0,8,2.6,No,Yes,84.0,81.1,0,Placed
2825,2826,7.4,0,2,3,9,4.1,No,Yes,69.3,76.6,1,Placed
2826,2827,9.1,0,2,2,1,3.7,No,No,89.0,81.2,2,Placed
2827,2828,9.1,1,2,2,6,3.3,Yes,Yes,71.5,66.6,3,Placed
2828,2829,6.1,1,2,1,12,2.1,Yes,Yes,85.6,56.4,1,Placed
2829,2830,9.5,0,1,0,9,2.3,No,Yes,50.0,88.4,2,NotPlaced
2830,2831,6.7,1,3,3,1,3.2,No,No,75.4,62.7,1,NotPlaced
2831,2832,8.3,2,2,1,9,2.3,Yes,No,71.2,67.2,2,Placed
2832,2833,8.3,2,1,1,5,3.2,No,Yes,52.2,69.0,2,NotPlaced
2833,2834,6.7,1,2,3,9,4.1,Yes,Yes,70.9,67.5,3,Placed
2834,2835,7.9,0,2,0,5,3.0,No,Yes,59.9,65.5,0,NotPlaced
2835,2836,7.4,2,2,0,7,3.6,Yes,Yes,66.3,76.2,1,NotPlaced
2836,2837,8.0,0,2,1,5,2.6,No,Yes,73.7,76.3,1,NotPlaced
2837,2838,7.7,2,1,1,7,3.7,No,Yes,69.9,77.6,1,Placed
2838,2839,8.5,1,3,3,5,3.9,No,Yes,74.2,77.0,1,Placed
2839,2840,7.6,0,2,3,6,2.4,No,Yes,72.4,68.2,2,Placed
2840,2841,7.4,0,2,1,3,2.9,No,No,92.2,68.2,2,NotPlaced
2841,2842,8.4,1,0,0,8,2.5,Yes,Yes,73.3,82.1,2,Placed
2842,2843,8.0,0,3,1,8,3.9,No,No,72.0,67.3,2,NotPlaced
2843,2844,8.1,1,2,1,2,3.6,No,Yes,74.8,67.1,1,Placed
2844,2845,6.9,0,0,2,10,3.5,No,Yes,70.8,80.4,0,Placed
2845,2846,6.6,2,2,0,6,3.4,Yes,Yes,56.7,71.8,0,Placed
2846,2847,7.0,1,1,0,7,3.8,No,Yes,77.2,67.5,3,NotPlaced
2847,2848,7.0,0,2,0,9,3.8,Yes,Yes,82.6,67.5,0,Placed
2848,2849,8.2,1,2,0,8,3.1,Yes,No,85.0,82.1,1,Placed
2849,2850,8.3,1,3,0,10,3.0,No,No,77.2,77.3,1,NotPlaced
2850,2851,7.4,0,2,1,6,3.5,Yes,Yes,68.6,74.1,2,Placed
2851,2852,8.7,1,2,3,10,3.3,No,Yes,73.4,61.5,4,Placed
2852,2853,8.7,1,1,2,7,5.0,No,Yes,87.1,74.2,3,Placed
2853,2854,7.7,0,3,0,9,3.2,No,Yes,69.0,70.1,0,Placed
2854,2855,6.8,2,1,0,8,3.7,Yes,Yes,60.3,63.8,2,Placed
2855,2856,8.8,0,0,2,11,3.9,No,Yes,90.9,66.6,0,NotPlaced
2856,2857,7.4,1,1,1,9,4.6,Yes,Yes,61.8,78.3,3,Placed
2857,2858,7.6,2,1,1,6,2.9,Yes,Yes,56.9,83.2,1,Placed
2858,2859,7.2,0,1,2,5,4.6,Yes,Yes,73.9,62.5,0,Placed
2859,2860,6.7,0,3,3,7,3.4,Yes,Yes,74.7,63.6,1,Placed
2860,2861,6.3,1,1,0,5,5.0,No,No,75.1,78.2,1,Placed
2861,2862,8.0,1,2,0,4,3.8,Yes,No,78.9,68.3,4,Placed
2862,2863,6.8,2,3,1,1,2.5,No,Yes,69.5,77.0,0,NotPlaced
2863,2864,9.5,1,2,1,2,3.3,No,Yes,69.7,68.2,4,NotPlaced
2864,2865,6.6,2,2,0,13,4.6,Yes,Yes,65.8,77.2,0,Placed
2865,2866,6.4,0,2,1,5,3.6,No,Yes,72.2,59.6,0,Placed
2866,2867,7.9,1,1,1,13,3.5,No,No,75.9,76.9,2,NotPlaced
2867,2868,8.8,2,2,0,8,4.1,Yes,Yes,79.2,53.1,1,Placed
2868,2869,7.6,0,3,3,7,3.2,Yes,Yes,62.9,80.3,4,Placed
2869,2870,8.0,1,0,3,2,3.3,No,Yes,59.8,71.7,2,NotPlaced
2870,2871,5.9,1,3,2,7,2.7,Yes,Yes,79.0,76.0,1,NotPlaced
2871,2872,6.9,1,2,3,13,4.9,Yes,Yes,66.2,74.1,0,Placed
2872,2873,6.6,0,3,1,12,2.5,No,Yes,62.1,56.6,4,NotPlaced
2873,2874,5.9,1,1,2,8,3.6,Yes,No,54.3,84.3,2,NotPlaced
2874,2875,7.6,1,1,2,4,3.9,Yes,Yes,83.7,75.0,2,Placed
2875,2876,5.6,1,0,1,4,3.5,Yes,Yes,73.5,78.8,3,NotPlaced
2876,2877,6.4,0,0,2,4,2.5,Yes,Yes,75.9,64.8,0,Placed
2877,2878,7.0,1,2,1,11,2.7,Yes,Yes,74.9,74.2,3,Placed
2878,2879,6.8,1,0,1,12,3.9,Yes,No,72.9,60.2,1,NotPlaced
2879,2880,7.8,1,2,3,8,2.9,Yes,No,70.8,73.3,3,NotPlaced
2880,2881,7.8,2,2,1,6,1.8,Yes,Yes,70.4,63.5,2,NotPlaced
2881,2882,8.3,0,3,3,12,3.8,No,Yes,62.2,98.0,1,Placed
2882,2883,8.1,2,3,2,4,2.8,No,Yes,55.1,77.4,3,Placed
2883,2884,8.5,2,1,1,7,4.0,No,Yes,91.2,84.0,2,Placed
2884,2885,7.5,1,3,2,8,3.3,Yes,Yes,71.3,69.8,0,Placed
2885,2886,7.8,1,0,0,4,3.3,No,Yes,67.1,75.6,2,NotPlaced
2886,2887,7.9,0,2,1,5,3.5,Yes,Yes,63.8,80.1,1,Placed
2887,2888,7.6,1,2,0,5,2.6,Yes,Yes,80.4,62.3,3,NotPlaced
2888,2889,7.2,2,1,0,11,2.8,No,Yes,72.3,65.9,3,Placed
